N_Gen,Value,E_00,E_01,E_30,E_31
6,b1010000,0.009256591796875,0.008573260057039966,0.0091650390625,0.008235825597075329
6,b1010001,0.008138427734375,0.00821745120479129,0.007958984375,0.007250094879073274
6,b1010010,0.00700927734375,0.006747695229660384,0.00843017578125,0.0077855266589007
6,b1010011,0.006295166015625,0.006208121947979197,0.00800048828125,0.007255848915444778
6,b1010100,0.00595703125,0.005582799220034539,0.0083251953125,0.008540483313111445
6,b1010101,0.005419921875,0.005333433284515329,0.007969970703125,0.007825508735166164
6,b1010110,0.0043212890625,0.003797483966642986,0.00718017578125,0.006993384630932444
6,b1010111,0.004892578125,0.0048982288955388385,0.009771728515625,0.01097472451794277
6,b1011000,0.004871826171875,0.00498924821269359,0.008082275390625,0.007802816898599784
6,b1011001,0.00449951171875,0.004266743026917147,0.007340087890625,0.007240347960300704
6,b1011010,0.0037158203125,0.003571336982823454,0.0065478515625,0.006155802795093292
6,b1011011,0.00393310546875,0.004238002721543965,0.009080810546875,0.009846160564575362
6,b1011100,0.003338623046875,0.0030327016571698316,0.007784423828125,0.008326031006602607
6,b1011101,0.003419189453125,0.00362850102878774,0.0091845703125,0.011588588499291315
6,b1011110,0.00293212890625,0.0031920450375554567,0.009913330078125,0.012233409059501819
6,b1011111,0.002579345703125,0.0027956047671755264,0.00672119140625,0.0077328742051014
6,b1100000,0.01162109375,0.012509146593597737,0.016064453125,0.016309945335828514
6,b1100001,0.009986572265625,0.011391227153301344,0.009305419921875,0.008308081813727863
6,b1100010,0.007576904296875,0.008477785186883153,0.008935546875,0.008531825845496025
6,b1100011,0.006494140625,0.006883473855145675,0.008848876953125,0.00872342295744566
6,b1100100,0.00615234375,0.00661021990932895,0.0094140625,0.009660361521065692
6,b1100101,0.00531005859375,0.005616225705642744,0.007469482421875,0.007820348163826324
6,b1100110,0.00457275390625,0.004738655397687212,0.007335205078125,0.007623465566708114
6,b1100111,0.003885498046875,0.004283988164656935,0.0063720703125,0.006848093342461851
6,b1101000,0.004432373046875,0.00484474879948032,0.008291015625,0.008727821838926142
6,b1101001,0.003740234375,0.00443991644176198,0.0076416015625,0.00824405009704959
6,b1101010,0.0032568359375,0.003645699958603972,0.0065869140625,0.00696135696085614
6,b1101011,0.00289306640625,0.0035064518921492415,0.00577392578125,0.00648458336099153
6,b1101100,0.002919921875,0.0032553662352592483,0.00596435546875,0.006858781246062638
6,b1101101,0.002349853515625,0.002928565466532251,0.005726318359375,0.006411655782538489
6,b1101110,0.0021630859375,0.0024248285795522837,0.005670166015625,0.006884952566847453
6,b1101111,0.002064208984375,0.0022957043711776992,0.00481689453125,0.005573439205521019
6,b1110000,0.00474365234375,0.004894854648283387,0.01093017578125,0.010808750324995849
6,b1110001,0.00399169921875,0.004633324109845871,0.009862060546875,0.00974472369777064
6,b1110010,0.00333740234375,0.003651891016444184,0.007828369140625,0.00761331648709092
6,b1110011,0.002818603515625,0.003286157552971615,0.007589111328125,0.007731994368639262
6,b1110100,0.0026171875,0.0029151574321276664,0.007322998046875,0.007719886594997295
6,b1110101,0.002391357421875,0.0026775236191968364,0.0074951171875,0.007877362768367962
6,b1110110,0.002099609375,0.002213313047329555,0.00687744140625,0.007697973116788654
6,b1110111,0.001834716796875,0.0022059124957193085,0.00643798828125,0.0072478145572380075
6,b1111000,0.002203369140625,0.002580076364871452,0.007884521484375,0.008211828337502749
6,b1111001,0.001943359375,0.0023390152409773386,0.0071630859375,0.00779377537534095
6,b1111010,0.0016650390625,0.0019446074609609206,0.006395263671875,0.007039656815449088
6,b1111011,0.001436767578125,0.0018168444280102871,0.00603759765625,0.006522786715152407
6,b1111100,0.001466064453125,0.001704366532265128,0.006181640625,0.007078848844909479
6,b1111101,0.001331787109375,0.001593995456212309,0.006182861328125,0.007657398712386711
6,b1111110,0.001197509765625,0.001427476399321765,0.006221923828125,0.007745782007029054
6,b1111111,0.001092529296875,0.00137356428262535,0.005093994140625,0.006715366410763928
